dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n_agents,cr_delta1,cr_delta2,cr_delta3
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.3,0,35,0.7714285714285715,0.2571428571428571,0.0
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,0,306,0.6372549019607843,0.24836601307189543,0.1503267973856209
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,1,288,0.6666666666666666,0.3402777777777778,0.2152777777777778
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,0,224,0.5803571428571429,0.2857142857142857,0.17410714285714285
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,1,176,0.5568181818181818,0.13068181818181818,0.08522727272727272
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,0,231,0.6277056277056277,0.3333333333333333,0.15584415584415584
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,1,133,0.5112781954887218,0.23308270676691728,0.07518796992481203
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,1350,0.7874074074074074,0.4533333333333333,0.18518518518518517
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,1350,0.7696296296296297,0.43851851851851853,0.17185185185185184
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,1350,0.7711111111111111,0.43851851851851853,0.17185185185185184
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,1200,0.78,0.4525,0.19083333333333333
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,1200,0.7508333333333334,0.43333333333333335,0.15833333333333333
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,1200,0.77,0.44083333333333335,0.17333333333333334
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,1050,0.799047619047619,0.44857142857142857,0.19333333333333333
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,1050,0.7619047619047619,0.43238095238095237,0.15428571428571428
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,1050,0.7714285714285715,0.4342857142857143,0.16285714285714287
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,1350,0.7881481481481482,0.4659259259259259,0.1925925925925926
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,1200,0.7866666666666666,0.4708333333333333,0.20333333333333334
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,1050,0.7933333333333333,0.4638095238095238,0.19714285714285715
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,1350,0.8037037037037037,0.46074074074074073,0.18444444444444444
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,1200,0.8058333333333333,0.485,0.1625
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,1050,0.7952380952380952,0.4666666666666667,0.16666666666666666
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,1350,0.7814814814814814,0.4748148148148148,0.18962962962962962
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,1350,0.7125925925925926,0.43333333333333335,0.14148148148148149
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1200,0.79,0.4691666666666667,0.1975
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1200,0.7308333333333333,0.38416666666666666,0.0975
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,1050,0.7752380952380953,0.44761904761904764,0.2
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,1050,0.7257142857142858,0.3923809523809524,0.11428571428571428
