dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_delta_cc,std_delta_cc,frac_asch,frac_moscovici,n
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,0.655,1.0543667700161485,0.6092857142857143,0.09,2800
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,0.13166666666666665,1.0694741698610584,0.3647222222222222,0.2611111111111111,3600
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,-0.4672222222222222,1.3560699160751082,0.20805555555555555,0.4533333333333333,3600
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,0.0996875,0.9780720333103027,0.345,0.2534375,3200
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,-0.68,1.2944979721884464,0.1496875,0.55,3200
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,0.1625,1.0965957876212051,0.39285714285714285,0.24642857142857144,2800
moral_stories,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,-0.8314285714285714,1.305815876010403,0.10785714285714286,0.5782142857142857,2800
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,0,-1.208888888888889,1.2277933634003226,0.09333333333333334,0.8422222222222222,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,1,-1.3066666666666666,1.2855435512740214,0.07555555555555556,0.8511111111111112,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.1,2,-1.4866666666666666,1.3202861642672605,0.06444444444444444,0.86,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,0,-1.2225,1.121603205237931,0.07,0.8625,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,1,-1.335,1.3220344171011584,0.0725,0.845,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.2,2,-1.5225,1.311294684653301,0.065,0.87,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,0,-1.1171428571428572,1.1565924616946885,0.08857142857142856,0.84,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,1,-1.3942857142857144,1.439829921928848,0.08571428571428572,0.8371428571428572,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,chain,0.3,2,-1.4885714285714287,1.3152449915339355,0.06285714285714286,0.8628571428571429,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.1,0,-1.0955555555555556,1.0380442199006437,0.07555555555555556,0.8266666666666667,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.2,0,-1.1225,0.9420688669094209,0.0575,0.8425,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,circle,0.3,0,-1.28,0.9358876611462051,0.03428571428571429,0.8942857142857142,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.1,0,-0.3088888888888889,0.9821342343697156,0.3,0.5933333333333334,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.2,0,-0.6075,0.8680113766535551,0.1875,0.725,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,fc,0.3,0,-0.2857142857142857,1.1581124685434996,0.29428571428571426,0.6142857142857143,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,0,-1.0133333333333334,1.0497830463693172,0.07333333333333333,0.8622222222222222,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.1,1,-0.56,1.0486817121192364,0.2222222222222222,0.6377777777777778,450
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,0,-1.115,0.819618813839702,0.02,0.9,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.2,1,-0.83,1.4529624909129624,0.225,0.615,400
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,0,-1.2142857142857142,0.9179613615095625,0.025714285714285714,0.9457142857142857,350
synthetic,llama-8b-instruct,rigid:rigid,model_induced,star,0.3,1,-1.2514285714285713,1.5891365901145238,0.16,0.6942857142857143,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,0,0.035555555555555556,0.5645669158471259,0.08888888888888889,0.017777777777777778,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,1,0.008888888888888889,0.6288692576441279,0.07333333333333333,0.017777777777777778,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.1,2,-0.008888888888888889,0.6798111575110719,0.07777777777777778,0.022222222222222223,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,chain,0.2,0,0.01,0.5655970296951708,0.06,0.0125,400
