dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,mean_srf,median_srf,std_srf
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.2,0,392,-1.410365705532981,-0.7883241457229818,5.990302833646945
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,fc,0.3,0,345,-0.07674482946468014,-1.309127859068477,32.44367403061955
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,0,449,0.8370805058081793,-1.5252811616291464,21.525731566662827
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,1,450,-2.4754963086315804,-1.9480978151594042,1.676654852968656
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,0,400,-1.1572928101163436,-1.400767198387201,7.2148310434697045
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,1,400,-2.9361820497665048,-2.167831503890186,2.424060637430664
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,0,350,-14.47988989521453,-1.6613136354610645,191.6412794064822
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,1,350,10.582250866093258,-3.7781277905496493,153.92641863443072
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,0,417,-0.3943787122225212,-0.11637778207165592,3.208086601576146
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,1,422,-0.2956028736730513,-0.17307962947050973,1.1489601620368266
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,2,450,-0.22177089136971395,-0.18000619487148345,0.7435540770161441
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,0,346,-0.19376313727611325,-0.12389035431938758,1.4598407850238382
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,1,365,-0.07326752459186749,-0.17059503193083403,2.4439562359630953
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,2,397,-0.25588605157665917,-0.20554725695020826,1.522251908494868
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,0,296,-0.25141281404474025,-0.1810421436535569,1.4075963219586503
