dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n_agents,ev_cr_0.5,ev_cr_1.0,mean_shift,std_shift
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,1,261,0.9310344827586207,0.6398467432950191,1.2524901895646696,0.7506540700563047
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,0,190,0.9526315789473684,0.5631578947368421,1.1851598903888245,0.6693440182161823
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,1,128,0.9375,0.640625,1.2520590245610217,0.5525308312401814
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,0,215,0.8697674418604651,0.5488372093023256,0.9605007819836593,1.0829668228283553
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,1,98,0.9081632653061225,0.7142857142857143,1.2412688301424517,0.5349018037801602
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,1350,0.945925925925926,0.8096296296296296,1.5665720127114426,0.6558686939001585
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,1350,0.9333333333333333,0.7703703703703704,1.4986748793696298,0.6718404551877907
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,1350,0.9340740740740741,0.7837037037037037,1.5167530891789374,0.6742608208567472
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,1200,0.9491666666666667,0.8158333333333333,1.5608967395728794,0.6559777143171488
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,1200,0.9308333333333333,0.7675,1.4753504184514172,0.6693895254841536
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,1200,0.935,0.7975,1.528349234189652,0.6727958188901572
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,1050,0.9485714285714286,0.8285714285714286,1.5717636714336165,0.6475644935667599
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,1050,0.9276190476190476,0.7742857142857142,1.4759255194349354,0.6788573398358779
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,1050,0.9295238095238095,0.7771428571428571,1.505122510079146,0.673631119731594
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,1350,0.9414814814814815,0.8148148148148148,1.5943476481373693,0.675689159322696
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,1200,0.9416666666666667,0.815,1.6018815405796545,0.668948605971767
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,1050,0.9419047619047619,0.8180952380952381,1.6022749314997349,0.6765738272220112
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,1350,0.9666666666666667,0.8214814814814815,1.6189241180459997,0.6611540746615753
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,1200,0.9333333333333333,0.8266666666666667,1.6117234207981899,0.688098281192658
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,1050,0.9438095238095238,0.8152380952380952,1.602024667701295,0.6671339293148179
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,1350,0.9548148148148148,0.8244444444444444,1.6142944493198101,0.6538628612495089
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,1350,0.9133333333333333,0.7496296296296296,1.4097525515310758,0.641958338925436
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1200,0.9558333333333333,0.8433333333333334,1.6032551084867313,0.6541362888620078
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,1,1200,0.9225,0.7291666666666666,1.3665504713944256,0.6233453298232506
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,0,1050,0.940952380952381,0.800952380952381,1.5593289245646673,0.6825460572730839
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.3,1,1050,0.9247619047619048,0.74,1.3686697793423719,0.6146603498333109
