dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,mean_semantic_drift,mean_mirroring,n
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,0,0.2830924251344469,0.6998825471931034,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.1,1,0.3220626174079047,0.6826599289311303,450
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,0,0.28880869299173356,0.6925100743770599,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.2,1,0.3529090315103531,0.6510829944908619,400
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,0,0.30943420444216047,0.6675355063165938,350
synthetic,qwen-0.5b-instruct,rigid:rigid,model_induced,star,0.3,1,0.3324704153197152,0.6806552808625358,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,0,0.42809598326683046,0.49678867512279085,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,1,0.4171987007723914,0.556890248325136,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.1,2,0.36037139746877883,0.6073374328348372,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,0,0.45936827048659323,0.4730285879969597,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,1,0.44450605392456055,0.5289372390508652,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.2,2,0.3685940489172935,0.6137372267246246,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,0,0.47215163469314575,0.4715154423032488,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,1,0.45196360775402616,0.5242976532663618,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,chain,0.3,2,0.36444126980645314,0.6298613481862204,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.1,0,0.4891225857204861,0.4729577582412296,450
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.2,0,0.5597727634012699,0.3963382904231548,400
synthetic,qwen-7b-base,rigid:rigid,model_induced,circle,0.3,0,0.5737905219623021,0.347075537783759,350
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.1,0,0.576740132437812,0.6684658985447001,108
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.2,0,0.5752687091007829,0.6207266608253121,64
synthetic,qwen-7b-base,rigid:rigid,model_induced,fc,0.3,0,0.7417890412466867,0.5994213700294495,35
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,0,0.47053971964549396,0.6236429157989477,306
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.1,1,0.4912636826435725,0.44535020117958385,288
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,0,0.47224077715405394,0.6705585013010672,224
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.2,1,0.6369110582904383,0.5486255020580508,176
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,0,0.48501828893438564,0.5747271193054332,231
synthetic,qwen-7b-base,rigid:rigid,model_induced,star,0.3,1,0.5817399181817707,0.4555969762622862,133
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,0.35564083108195554,0.5643935857878791,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,0.35648458931181165,0.5737862462909133,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,0.358554878588076,0.5628748138745626,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,0.35641316523154576,0.563014122446378,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,0.35343146746357285,0.5704548425972462,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,0.3525269218782584,0.5627070488035679,1200
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,0.3541490368616013,0.5603740561008453,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,0.355529636825834,0.5665410695189521,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,0.35660348154249644,0.5704108848458245,1050
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,0.3420780895815955,0.6137502440699825,1350
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,0.33858890503644945,0.5952660255630811,1200
