dataset,model_key,prompt_strategy,model_condition,topology,minority_ratio,position_config,n,baseline_ev_mean,baseline_ev_std,final_ev_mean,final_ev_std,shadow_ev_mean,shadow_ev_std,shift_final,shift_shadow
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,0,1350,3.862250462600458,0.6735939697248128,5.365437146595383,0.6426988302455742,5.4288224753119,0.5827152908504369,1.503186683994925,1.5665720127114424
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,1,1350,3.862479852755964,0.6737853340235185,5.184339296809034,0.7067131520314883,5.361154732125593,0.5999553402440534,1.3218594440530698,1.498674879369629
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.1,2,1350,3.861996858193817,0.6735514580410683,5.188687188333564,0.7087693837088938,5.3787499473727545,0.6075851379419548,1.3266903301397468,1.5167530891789376
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,0,1200,3.8619840383289623,0.6738674148963572,5.3562864152618745,0.6374906081402315,5.422880777901842,0.5758261261225107,1.4943023769329122,1.5608967395728794
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,1,1200,3.8623513793618107,0.6736201200046449,5.134394145048023,0.7093189379814173,5.337701797813228,0.6075790742461736,1.272042765686212,1.4753504184514172
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.2,2,1200,3.862226194277405,0.6735052165862693,5.164721395486406,0.7108811024604644,5.390575428467057,0.6166647055264243,1.3024952012090014,1.5283492341896516
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,0,1050,3.861991215159402,0.6738746890206397,5.372092243661043,0.6324219063951935,5.433754886593018,0.5672341612883924,1.5101010285016407,1.571763671433616
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,1,1050,3.861902175755062,0.6739443772315716,5.105266205041069,0.7216403958352181,5.337827695189999,0.6098234294319959,1.243364029286007,1.475925519434937
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,chain,0.3,2,1050,3.862071009658514,0.6736984069780052,5.130529983419034,0.7201606452473233,5.36719351973766,0.6226493266223324,1.2684589737605205,1.5051225100791465
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.1,0,1350,3.8622450707781173,0.673494821953902,5.641795156394371,0.5126629351257368,5.456592718915486,0.5673146164569728,1.779550085616254,1.5943476481373686
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.2,0,1200,3.8626563382839065,0.6731377243959675,5.6425168544554225,0.5101583278124769,5.464537878863561,0.5581213243282959,1.779860516171516,1.601881540579654
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,circle,0.3,0,1050,3.861874913189389,0.6738731261925494,5.634791855061832,0.5253842273919126,5.464149844689124,0.5661425423932023,1.772916941872443,1.602274931499735
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.1,0,1350,3.8618993763427283,0.6738858633177517,6.000472016518981,0.4217644753105363,5.480823494388728,0.561934705552087,2.138572640176253,1.618924118046
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.2,0,1200,3.862292106197223,0.6738754997465438,5.9871970616287085,0.4072340447724361,5.474015526995413,0.5379053807057976,2.1249049554314854,1.61172342079819
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,fc,0.3,0,1050,3.861771758664551,0.6740375633925313,5.982754838443063,0.43098944370867076,5.463796426365847,0.5504290261282896,2.1209830797785125,1.6020246677012961
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,0,1350,3.8619673383864397,0.6736067977645162,5.615195068257172,0.5186862031156707,5.47626178770625,0.5196132441777129,1.7532277298707326,1.61429444931981
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.1,1,1350,3.8624785425596597,0.6737482052096069,5.180787192425869,0.7050457417130485,5.272231094090736,0.49550702059516255,1.3183086498662089,1.409752551531076
synthetic,qwen-7b-instruct,rigid:rigid,model_induced,star,0.2,0,1200,3.8623510140147044,0.6733060815221563,5.603602892324109,0.5208953343688287,5.465606122501436,0.5447540950917058,1.7412518783094049,1.6032551084867315
